ID,title,Directed by ,Written by,Produced by ,Starring,Cinematography,Edited by ,Music by,Produced companies,distributed by,Running time, budget , box office , net profit/loss 
16,Skyline,The Brothers Strause,"Joshua Cordes, Liam ODonnell","The Brothers Strause, Kristian Andresen, Liam ODonnell","Eric Balfour, Scottie Thompson, Brittany Daniel, David Zayas, Donald Faison",Michael Watson,Nicholas Wayman-Harris,Matthew Margeson,"Rogue, Relativity Media, Hydraulx Entertainment, Transmission, Rat Entertainment","Universal Pictures   , IM Global  ",94 minutes," $2,00,00,000.00 "," $6,83,00,000.00 "," $4,83,00,000.00 "
53,Anna Karenina,Joe Wright,,"Tim Bevan, Eric Fellner, Paul Webster","Keira Knightley, Jude Law, Aaron Johnson, Kelly Macdonald, Matthew Macfadyen, Domhnall Gleeson, Ruth Wilson, Alicia Vikander, Olivia Williams, Emily Watson",Seamus McGarvey,Melanie Oliver,Dario Marianelli,Working Title Films StudioCanal,"Universal Pictures  , Focus Features  ",130 minutes ," $4,06,00,000.00 "," $6,89,00,000.00 "," $2,83,00,000.00 "
18,The Dilemma,Ron Howard,Allan Loeb,"Brian Grazer, Ron Howard, Vince Vaughn","Vince Vaughn, Kevin James, Jennifer Connelly, Winona Ryder, Channing Tatum, Queen Latifah",Salvatore Totino,"Mike Hill, Daniel P. Hanley","Hans Zimmer, Lorne Balfe","Imagine Entertainment , Spyglass Entertainment , Wild West Picture Show Productions ",Universal Pictures ,118 minutes ," $7,00,00,000.00 "," $6,97,00,000.00 "," $-3,00,000.00 "
27,Larry Crowne,Tom Hanks,"Tom Hanks, Nia Vardalos","Gary Goetzman, Tom Hanks","Tom Hanks, Julia Roberts, Bryan Cranston, Cedric the Entertainer, Taraji P. Henson, Gugu Mbatha-Raw, Wilmer Valderrama, Pam Grier",Philippe Rousselot,Alan Cody,James Newton Howard,"Vend√¥me Pictures, Playtone","Universal Pictures  , Summit Entertainment   ",99 minutes," $3,00,00,000.00 "," $7,20,00,000.00 "," $4,20,00,000.00 "
72,The Best Man Holiday,Malcolm D. Lee,Malcolm D. Lee,Malcolm D. Lee Sean Daniel,"Morris Chestnut, Taye Diggs, Regina Hall, Terrence Howard, Sanaa Lathan, Nia Long, Melissa De Sousa, Harold Perrineau",Greg Gardiner,Paul Millspaugh,Stanley Clarke,"Blackmaled Productions, Sean Daniel Company",Universal Pictures,123 minutes ," $1,70,00,000.00 "," $7,28,00,000.00 "," $5,58,00,000.00 "
112,Crimson Peak,Guillermo del Toro,"Guillermo del Toro, Matthew Robbins","Guillermo del Toro, Callum Greene, Jon Jashni, Thomas Tull","Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam, Jim Beaver",Dan Laustsen,Bernat Vilaplana,Fernando Velazquez,"Legendary Pictures, Double Dare You Productions",Universal Pictures,119 minutes ," $5,50,00,000.00 "," $7,47,00,000.00 "," $1,97,00,000.00 "
29,The Change-Up,David Dobkin,"Jon Lucas, Scott Moore","David Dobkin, Neal H. Moritz","Ryan Reynolds, Jason Bateman, Leslie Mann, Olivia Wilde, Alan Arkin",Eric Edwards,"Lee Haxall, Greg Hayden","John Debney, Theodore Shapiro","Original Film, Relativity Media, Big Kid Pictures",Universal Pictures,112 minutes ," $5,20,00,000.00 "," $7,55,00,000.00 "," $2,35,00,000.00 "
196,Cats,Tom Hooper,,"Debra Hayward, Tim Bevan, Eric Fellner, Tom Hooper","James Corden, Judi Dench, Jason Derulo, Idris Elba, Jennifer Hudson, Ian McKellen, Taylor Swift, Rebel Wilson, Francesca Hayward",Christopher Ross,Melanie Oliver,Andrew Lloyd Webber,"Working Title Films, Amblin Entertainment, Perfect World Pictures, Monumental Pictures, The Really Useful Group",Universal Pictures,110 minutes ," $10,00,00,000.00 "," $7,55,00,000.00 "," $-2,45,00,000.00 "
184,A Dog's Journey,Gail Mancuso,,Gavin Polone,"Marg Helgenberger, Betty Gilpin, Henry Lau, Kathryn Prescott, Dennis Quaid, Josh Gad",Rogier Stoffers,Robert Komatsu,Mark Isham,"Amblin Entertainment, Reliance Entertainment, Walden Media, Alibaba Pictures, Pariah Entertainment Group",Universal Pictures,109 minutes," $1,60,00,000.00 "," $7,58,00,000.00 "," $5,98,00,000.00 "
130,Kubo and the Two Strings,Travis Knight,,"Arianne Sutner, Travis Knight","Charlize Theron, Art Parkinson, Ralph Fiennes, Rooney Mara, George Takei, Matthew McConaughey",Frank Passingham,Christopher Murrie,Dario Marianelli,,"Focus Features   , Universal Pictures  ",102 minutes ," $6,00,00,000.00 "," $7,75,00,000.00 "," $1,75,00,000.00 "
63,R.I.P.D.,Robert Schwentke,,"Neal H. Moritz, Mike Richardson, Michael Fottrell","Jeff Bridges, Ryan Reynolds, Kevin Bacon, Mary-Louise Parker, Stephanie Szostak",Alwin H. Kachler,Mark Helfrich,Christophe Beck ,"Dark Horse Entertainment, Original Film",Universal Pictures,96 minutes ," $15,40,00,000.00 "," $7,83,00,000.00 "," $-7,57,00,000.00 "
121,The Boss,Ben Falcone,"Melissa McCarthy, Ben Falcone, Steve Mallory","Melissa McCarthy, Ben Falcone, Will Ferrell, Adam McKay, Chris Henchy","Melissa McCarthy, Kristen Bell, Kathy Bates, Tyler Labine, Peter Dinklage",Julio Macat,Craig Alpert,Christopher Lennertz,"Gary Sanchez Productions, On The Day Productions",Universal Pictures,99 minutes ," $2,90,00,000.00 "," $7,88,00,000.00 "," $4,98,00,000.00 "
153,Lady Bird,Greta Gerwig,Greta Gerwig,"Scott Rudin, Eli Bush, Evelyn ONeill","Saoirse Ronan, Laurie Metcalf, Tracy Letts, Lucas Hedges, Timoth√©e Chalamet, Beanie Feldstein, Stephen McKinley Henderson, Lois Smith",Sam Levy,Nick Houy,Jon Brion,"IAC Films, Scott Rudin Productions, Management ","A  , Universal Pictures Focus Features   ",94 minutes ," $1,00,00,000.00 "," $7,90,00,000.00 "," $6,90,00,000.00 "
81,A Million Ways to Die in the West,Seth MacFarlane,"Seth MacFarlane, Alec Sulkin, Wellesley Wild","Scott Stuber, Jason Clark, Seth MacFarlane","Seth MacFarlane, Charlize Theron, Amanda Seyfried, Giovanni Ribisi, Neil Patrick Harris, Sarah Silverman, Liam Neeson",Michael Barrett,Jeff Freeman,Joel McNeely,"MRC, Fuzzy Door Productions, Bluegrass Films",Universal Pictures,116 minutes ," $4,00,00,000.00 "," $8,02,00,000.00 "," $4,02,00,000.00 "
135,Ouija: Origin of Evil,Mike Flanagan,"Mike Flanagan, Jeff Howard","Michael Bay, Jason Blum, Stephen Davis, Andrew Form, Bradley Fuller, Brian Goldner","Elizabeth Reaser, Lulu Wilson, Annalise Basso, Henry Thomas",Michael Fimognari,Mike Flanagan,The Newton Brothers,"Allspark Pictures, Blumhouse Productions, Hasbro Studios, Platinum Dunes",Universal Pictures,99 minutes ," $1,20,00,000.00 "," $8,17,00,000.00 "," $6,97,00,000.00 "
46,Savages,Oliver Stone,,"Moritz Borman, Eric Copeloff","Taylor Kitsch, Blake Lively, Aaron Johnson, John Travolta, Benicio del Toro, Salma Hayek",Dan Mindel,"Joe Hutshing, Stuart Levy, Alex Marquez",Adam Peters,"Relativity Media, Ixtlan Productions",Universal Pictures,130 minutes ," $4,50,00,000.00 "," $8,30,00,000.00 "," $3,80,00,000.00 "
175,Mortal Engines,Christian Rivers,,"Zane Weiner, Amanda Walker, Deborah Forte, Fran Walsh, Peter Jackson","Hera Hilmar, Robert Sheehan, Hugo Weaving, Jihae, Ronan Raftery, Leila George, Patrick Malahide, Stephen Lang",Simon Raby,Jonno Woodford-Robinson,Tom Holkenborg ,"Universal Pictures  , MRC , Scholastic Entertainment , Silvertongue Films , Perfect World Pictures , WingNut Films  ",Universal Pictures,128 minutes ," $15,00,00,000.00 "," $8,37,00,000.00 "," $-6,63,00,000.00 "
85,Step Up: All In,Trish Sie,John Swetnam,"Adam Shankman, Jennifer Gibgot, Patrick Wachsberger, Erik Feig","Ryan Guzman, Briana Evigan, Stephen tWitch Boss, Misha Gabriel, Izabella Miko, Alyson Stoner, Adam Sevani",Brian Pearson,Niven Howie,Jeff Cardoni,"Summit Entertainment, Offspring Entertainment",Lionsgate ,112 minutes," $3,50,00,000.00 "," $8,61,00,000.00 "," $5,11,00,000.00 "
55,This Is 40,Judd Apatow,Judd Apatow,"Judd Apatow, Barry Mendel, Clayton Townsend","Paul Rudd, Leslie Mann, John Lithgow, Megan Fox, Albert Brooks",Phedon Papamichael,Brent White Jay Deuby David Bertman,Jon Brion,,Universal Pictures,133 minutes ," $3,50,00,000.00 "," $8,81,00,000.00 "," $5,31,00,000.00 "
70,About Time,Richard Curtis,Richard Curtis,"Tim Bevan, Eric Fellner, Nicky Kentish Barnes","Domhnall Gleeson, Rachel McAdams, Bill Nighy, Tom Hollander, Margot Robbie",John Guleserian,Mark Day,Nick Laird-Clowes,"Working Title Films, Relativity Media",Universal Pictures,123 minutes ," $1,20,00,000.00 "," $8,85,00,000.00 "," $7,65,00,000.00 "
120,My Big Fat Greek Wedding 2,Kirk Jones,Nia Vardalos,"Gary Goetzman, Tom Hanks, Rita Wilson","Nia Vardalos, John Corbett, Lainie Kazan, Gia Carides, Joey Fatone, Louis Mandylor, Andrea Martin, Michael Constantine",Jim Denault,Markus Czyzewski,Christopher Lennertz,"Gold Circle Entertainment, Home Box Office, Playtone",Universal Pictures,94 minutes ," $1,80,00,000.00 "," $9,06,00,000.00 "," $7,26,00,000.00 "
61,The Purge,James DeMonaco,James DeMonaco,"Jason Blum, Sabastien K. Lemercier, Michael Bay, Andrew Form, Brad Fuller","Ethan Hawke, Lena Headey, Adelaide Kane, Max Burkholder",Jacques Jouffret,Peter Gvozdas,Nathan Whitehead,"Blumhouse Productions , Platinum Dunes , Why Not Productions ",Universal Pictures ,85 minutes ," $30,00,000.00 "," $9,13,00,000.00 "," $8,83,00,000.00 "
13,Nanny McPhee and the Big Bang,Susanna White,Emma Thompson,Tim Bevan Eric Fellner Lindsay Doran,"Emma Thompson, Maggie Gyllenhaal, Rhys Ifans, Maggie Smith",Mike Eley,Sim Evan-Jones,James Newton Howard,"StudioCanal, Relativity Media, Working Title Films, Three Strange Angels","Universal Pictures   , StudioCanal   ",109 minutes ," $3,50,00,000.00 "," $9,32,00,000.00 "," $5,82,00,000.00 "
160,Blockers,Kay Cannon,"Brian Kehoe, Jim Kehoe","Evan Goldberg, Seth Rogen, James Weaver, Jon Hurwitz, Hayden Schlossberg, Chris Fenton","Leslie Mann, Ike Barinholtz, John Cena",Russ Alsobrook,Stacey Schroeder,Mateo Messina,"Universal Pictures , Good Universe , Point Grey Pictures , Hurwitz & Schlossberg Productions , DMG Entertainment ",Universal Pictures ,102 minutes," $2,10,00,000.00 "," $9,40,00,000.00 "," $7,30,00,000.00 "
2,Green Zone,Paul Greengrass,Brian Helgeland,"Tim Bevan, Eric Fellner, Lloyd Levin, Paul Greengrass","Matt Damon, Greg Kinnear, Brendan Gleeson, Amy Ryan, Khalid Abdalla, Jason Isaacs",Barry Ackroyd,Christopher Rouse,John Powell,,"Universal Pictures  , StudioCanal   ",115 minutes," $10,00,00,000.00 "," $9,49,00,000.00 "," $-51,00,000.00 "
161,Truth or Dare,Jeff Wadlow,,Jason Blum,"Lucy Hale, Tyler Posey, Violett Beane, Hayden Szeto, Landon Liboiron",Jacques Jouffret,Sean Albertson,Matthew Margeson,,Universal Pictures,100 minutes," $35,00,000.00 "," $9,53,00,000.00 "," $9,18,00,000.00 "
8,Get Him to the Greek,Nicholas Stoller,Nicholas Stoller,"Judd Apatow, Joshua Blake, David Bushell, Rodney Rothman, Nicholas Stoller","Jonah Hill, Russell Brand, Elisabeth Moss, Rose Byrne, Colm Meaney, Sean Combs",Robert Yeoman,"William Kerr, Michael Sale",Lyle Workman,"Apatow Productions, Relativity Media, Spyglass Entertainment",Universal Pictures,109 minutes ," $4,00,00,000.00 "," $9,55,00,000.00 "," $5,55,00,000.00 "
4,Kick-Ass,Matthew Vaughn,,"Matthew Vaughn, Brad Pitt, Kris Thykier, Adam Bohling, Tarquin Pack, David Reid","Aaron Johnson, Christopher Mintz-Plasse, Chloe Grace Moretz, Mark Strong, Nicolas Cage",Ben Davis,"Pietro Scalia, Jon Harris, Eddie Hamilton","John Murphy, Henry Jackman, Marius de Vries, Ilan Eshkeri","Marv Films , Plan B Entertainment ","Lionsgate   , Focus Features International ,Universal Pictures",118 minutes ," $3,00,00,000.00 "," $9,62,00,000.00 "," $6,62,00,000.00 "
34,Contraband,Baltasar Kormakur,Aaron Guzikowski,"Tim Bevan, Eric Fellner, Baltasar Kormakur, Stephen Levinson, Mark Wahlberg","Mark Wahlberg, Kate Beckinsale, Ben Foster, Giovanni Ribisi, Caleb Landry Jones, J. K. Simmons",Barry Ackroyd,Eli≠sabet ,Clinton Shorter,"Relativity Media, Working Title Films, Blueeyes Productions, Leverage Entertainment, Closest to the Hole Productions",Universal Pictures,109 minutes," $2,50,00,000.00 "," $9,63,00,000.00 "," $7,13,00,000.00 "
183,The Hustle,Chris Addison,,"Roger Birnbaum, Rebel Wilson","Anne Hathaway, Rebel Wilson, Alex Sharp, Dean Norris, Timothy Simons, Ingrid Oliver",Michael Coulter,Anthony Boys,Anne Dudley,"Metro-Goldwyn-Mayer, Pin High Productions, Cave  Productions, Camp Sugar Productions","United Artists Releasing  , Universal Pictures  ",94 minutes," $2,10,00,000.00 "," $9,74,00,000.00 "," $7,64,00,000.00 "
22,Paul,Greg Mottola,"Simon Pegg, Nick Frost","Nira Park, Tim Bevan, Eric Fellner","Simon Pegg, Nick Frost, Jason Bateman, Kristen Wiig, Bill Hader, Blythe Danner, John Carroll Lynch, Sigourney Weaver, Seth Rogen",Lawrence Sher,Chris Dickens,David Arnold,"Relativity Media, Working Title Films, Big Talk Pictures, StudioCanal",Universal Pictures,104 minutes," $4,00,00,000.00 "," $9,80,00,000.00 "," $5,80,00,000.00 "
68,Rush,Ron Howard,Peter Morgan,"Andrew Eaton, Eric Fellner, Brian Oliver, Peter Morgan, Brian Grazer, Ron Howard","Chris Hemsworth, Daniel Bruhl, Olivia Wilde, Alexandra Maria Lara, Pierfrancesco Favino",Anthony Dod Mantle,"Daniel Hanley, Mike Hill",Hans Zimmer,"Cross Creek Pictures, Exclusive Media, Working Title Films, Imagine Entertainment, Revolution Films, Egoli Tossell Film ","Universal Pictures  , StudioCanal  , Universum Film   ",123 minutes ," $3,80,00,000.00 "," $9,82,00,000.00 "," $6,02,00,000.00 "
67,Riddick,David Twohy,David Twohy,"Vin Diesel, Ted Field","Vin Diesel, Jordi Molla†, Matt Nable, Katee Sackhoff, Dave Bautista, Bokeem Woodbine, Raoul Trujillo, Karl Urban",David Eggby,Tracy Adams,Graeme Revell,"One Race Films, Radar Pictures, Riddick Canada Productions","Universal Pictures  , Entertainment One  ",119 minutes ," $3,80,00,000.00 "," $9,83,00,000.00 "," $6,03,00,000.00 "
108,The Visit,M. Night Shyamalan,M. Night Shyamalan,"M. Night Shyamalan, Jason Blum, Marc Bienstock","Olivia DeJonge, Ed Oxenbould, Deanna Dunagan, Peter McRobbie, Kathryn Hahn",Maryse Alberti,Luke Ciarrocchi,,"Blinding Edge Pictures, Blumhouse Productions",Universal Pictures,94 minutes ," $50,00,000.00 "," $9,85,00,000.00 "," $9,35,00,000.00 "
169,Night School,Malcolm D. Lee ,"Kevin Hart, Harry Ratchford, Joey Wells, Matt Kellard, Nicholas Stoller , John Hamburg","Kevin Hart, Will Packer ","Kevin Hart, Tiffany Haddish, Rob Riggle, Romany Malco",Greg Gardiner,Paul Millspaugh,David Newman,"HartBeat Productions, Will Packer Productions",Universal Pictures,111 minutes ," $2,90,00,000.00 "," $10,31,00,000.00 "," $7,41,00,000.00 "
90,Ouija,Stiles White,,"Michael Bay, Andrew Form, Bradley Fuller, Jason Blum, Bennett Schneir","Olivia Cooke, Daren Kagasoff, Douglas Smith, Bianca Santos",David Emmerichs,Ken Blackwell,Anton Sanko,"Platinum Dunes, Blumhouse Productions, Hasbro Studios",Universal Pictures,89 minutes ," $80,00,000.00 "," $10,36,00,000.00 "," $9,56,00,000.00 "
117,Sisters,Jason Moore,Paula Pell,"Tina Fey, Jay Roach, John Lyons","Tina Fey, Amy Poehler, Maya Rudolph, Ike Barinholtz, James Brolin, John Cena, John Leguizamo, Dianne Wiest",Barry Peterson,Lee Haxall,Christophe Beck ,"Little Stranger, Everyman Pictures",Universal Pictures,118 minutes ," $3,30,00,000.00 "," $10,50,00,000.00 "," $7,20,00,000.00 "
170,First Man,Damien Chazelle,,"Wyck Godfrey, Marty Bowen, Isaac Klausner, Damien Chazelle","Ryan Gosling, Claire Foy, Jason Clarke, Kyle Chandler, Corey Stoll, Christopher Abbott, Ciaran Hinds",Linus Sandgren,Tom Cross,Justin Hurwitz,"DreamWorks Pictures, Perfect World Pictures, Temple Hill Entertainment",Universal Pictures,141 minutes ," $7,00,00,000.00 "," $10,57,00,000.00 "," $3,57,00,000.00 "
49,ParaNorman,"Sam Fell, Chris Butler",Chris Butler,"Arianne Sutner, Travis Knight","Kodi Smit-McPhee, Tucker Albrizzi, Anna Kendrick, Casey Affleck, Christopher Mintz-Plasse, Leslie Mann, Jeff Garlin, Elaine Stritch, Bernard Hill, Jodelle Ferland, Tempestt Bledsoe, Alex Borstein, John Goodman",Tristan Oliver,Christopher Murrie,Jon Brion ,,"Focus Features   , Universal Pictures  ",92 minutes ," $6,00,00,000.00 "," $10,71,00,000.00 "," $4,71,00,000.00 "
123,Neighbors 2: Sorority Rising,Nicholas Stoller,"Andrew J. Cohen, Brendan OBrien, Nicholas Stoller, Evan Goldberg, Seth Rogen","Seth Rogen, Evan Goldberg, James Weaver","Seth Rogen, Zac Efron, Rose Byrne, Chloe Grace Moretz, Dave Franco, Ike Barinholtz",Brandon Trost,Zene Baker,Michael Andrews,"Good Universe, Perfect World Pictures, Point Grey Pictures",Universal Pictures,92 minutes ," $3,50,00,000.00 "," $10,80,00,000.00 "," $7,30,00,000.00 "
88,The Boxtrolls,"Graham Annable, Anthony Stacchi",,"David Bleiman Ichioka, Travis Knight","Ben Kingsley, Isaac Hempstead Wright, Elle Fanning, Dee Bradley Baker, Steve Blum, Toni Collette, Jared Harris, Nick Frost, Richard Ayoade, Tracy Morgan, Simon Pegg",John Ashlee Prat,Edie Ichioka,Dario Marianelli ,,"Focus Features   , Universal Pictures  ",97 minutes ," $6,00,00,000.00 "," $10,83,00,000.00 "," $4,83,00,000.00 "
19,Sanctum,Alister Grierson,"John Garvin, Andrew Wight",Andrew Wight,"Richard Roxburgh, Rhys Wakefield, Alice Parkinson, Dan Wyllie, Ioan Gruffudd",Jules OLoughlin,Mark Warner,David Hirschfelder,"Relativity Media, Wayfare Entertainment, FilmNation Entertainment",Universal Pictures,109 minutes," $3,00,00,000.00 "," $10,86,00,000.00 "," $7,86,00,000.00 "
189,Good Boys,Gene Stupnitsky,"Lee Eisenberg, Gene Stupnitsky","Lee Eisenberg, Evan Goldberg, Seth Rogen, James Weaver","Jacob Tremblay, Keith L. Williams, Brady Noon, Molly Gordon, Lil Rel Howery, Midori Francis",Jonathan Furmanski,Daniel Gabbe,Lyle Workman,"Good Universe, Point Grey Pictures, Quantity Entertainment",Universal Pictures,90 minutes ," $2,00,00,000.00 "," $11,12,00,000.00 "," $9,12,00,000.00 "
82,The Purge: Anarchy,James DeMonaco,James DeMonaco,"Jason Blum, Michael Bay, Andrew Form, Brad Fuller, Sabastien K. Lemercier","Frank Grillo, Carmen Ejogo, Zach Gilford, Kiele Sanchez, Michael K. Williams",Jacques Jouffret,"Todd E. Miller, Vince Filippone",Nathan Whitehead,"Platinum Dunes, Blumhouse Productions, Why Not Productions",Universal Pictures,104 minutes ," $1,10,00,000.00 "," $11,19,00,000.00 "," $10,09,00,000.00 "
97,Seventh Son,Sergei Bodrov,,"Basil Iwanyk, Thomas Tull, Lionel Wigram","Jeff Bridges, Ben Barnes, Alicia Vikander, Kit Harington, Olivia Williams, Antje Traue, Djimon Hounsou, Julianne Moore",Newton Thomas Sigel,"Paul Rubell, Jim Page, Michael Kahn",Marco Beltrami ,"Legendary Pictures , Moving Picture Company , Outlaw Sinema , Pendle Mountain Productions , Thunder Road Pictures , China Film Group ",Universal Pictures,102 minutes ," $11,00,00,000.00 "," $11,42,00,000.00 "," $42,00,000.00 "
51,Pitch Perfect,Jason Moore,,"Paul Brooks, Max Handelman, Elizabeth Banks","Anna Kendrick, Skylar Astin, Rebel Wilson, Adam DeVine, Anna Camp, Brittany Snow, John Michael Higgins, Elizabeth Banks",Julio Macat,Lisa Zeno Churgin,"Christophe Beck, Mark Kilian","Gold Circle Films, Brownstone Productions",Universal Pictures,112 minutes ," $1,70,00,000.00 "," $11,54,00,000.00 "," $9,84,00,000.00 "
127,The Purge: Election Year,James DeMonaco,James DeMonaco,"Jason Blum, Michael Bay, Andrew Form, Brad Fuller, Sabastien K. Lemercier","Frank Grillo, Elizabeth Mitchell, Mykelti Williamson",Jacques Jouffret,Todd E. Miller,Nathan Whitehead,"Platinum Dunes, Blumhouse Productions, Man in a Tree Productions",Universal Pictures,108 minutes ," $1,00,00,000.00 "," $11,86,00,000.00 "," $10,86,00,000.00 "
192,Last Christmas,Paul Feig,,"David Livingstone, Emma Thompson, Paul Feig, Jessie Henderson","Emilia Clarke, Henry Golding, Michelle Yeoh, Emma Thompson",John Schwartzman,Brent White,Theodore Shapiro,"Feigco Entertainment, Perfect World Pictures, Calamity Films",Universal Pictures,103 minutes ," $3,00,00,000.00 "," $12,34,00,000.00 "," $9,34,00,000.00 "
92,The Theory of Everything,James Marsh,,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten","Eddie Redmayne, Felicity Jones, Charlie Cox, Emily Watson, Simon McBurney, David Thewlis",Benoet Delhomme,Jinx Godfrey,Johann Jahannsson,,"Focus Features   ,Toho-Towa    , Universal Pictures  ",123 minutes  ," $1,50,00,000.00 "," $12,37,00,000.00 "," $10,87,00,000.00 "
118,Ride Along 2,Tim Story,"Phil Hay, Matt Manfredi","Will Packer, Ice Cube, Matt Alvarez, Larry Brezner","Ice Cube, Kevin Hart, Ken Jeong, Benjamin Bratt, Olivia Munn, Bruce McGill, Tika Sumpter",Mitchell Amundsen,Peter S. Elliot,Christopher Lennertz,"Will Packer Productions, Cube Vision",Universal Pictures,101 minutes ," $4,00,00,000.00 "," $12,46,00,000.00 "," $8,46,00,000.00 "
